iter	Passed	Remaining
634	835	480
635	836	478
636	837	477
637	838	475
638	839	474
639	841	473
640	843	472
641	844	470
642	844	469
643	845	467
644	847	466
645	849	465
646	850	463
647	851	462
648	851	460
649	856	460
650	856	459
651	858	457
652	859	456
653	861	455
654	862	454
655	863	452
656	864	451
657	865	449
658	867	448
659	868	447
660	870	446
661	871	444
662	872	443
663	873	442
664	874	440
665	875	439
666	876	437
667	878	436
668	880	435
669	881	434
670	882	432
671	883	431
672	885	430
673	886	428
674	887	427
675	888	425
676	890	424
677	894	424
678	895	423
679	896	421
680	897	420
681	899	419
682	899	417
683	900	416
684	901	414
685	902	412
686	905	412
687	906	410
688	906	409
689	908	408
690	909	406
691	911	405
692	912	404
693	913	402
694	914	401
695	916	400
696	917	398
697	918	397
698	919	396
699	920	394
700	922	393
701	923	392
702	924	390
703	925	389
704	927	387
705	929	386
706	930	385
707	931	384
708	932	382
709	933	381
710	935	380
711	936	378
712	937	377
713	938	376
714	940	374
715	942	373
716	943	372
717	944	370
718	945	369
719	946	368
720	948	367
721	949	365
722	950	364
723	951	362
724	952	361
725	953	359
726	954	358
727	955	357
728	956	355
729	957	354
730	958	352
731	960	351
732	961	350
733	963	349
734	964	347
735	966	346
736	967	345
737	968	343
738	969	342
739	969	340
740	970	339
741	972	337
742	973	336
743	974	335
744	974	333
745	975	332
746	976	330
747	978	329
748	980	328
749	981	327
750	982	325
751	983	324
752	985	323
753	986	321
754	987	320
755	988	319
756	989	317
757	991	316
758	992	315
759	993	313
760	994	312
761	995	311
762	998	310
763	999	308
764	1000	307
765	1001	306
766	1002	304
767	1005	303
768	1006	302
769	1008	301
770	1009	299
771	1011	298
772	1012	297
773	1013	295
774	1014	294
775	1017	293
776	1018	292
777	1019	290
778	1023	290
779	1024	288
780	1025	287
781	1026	286
782	1028	284
783	1029	283
784	1030	282
785	1031	280
786	1032	279
787	1033	277
788	1036	277
789	1037	275
790	1037	274
791	1039	272
792	1040	271
793	1042	270
794	1042	268
795	1043	267
796	1044	266
797	1045	264
798	1046	263
799	1048	262
800	1049	260
801	1051	259
802	1052	258
803	1054	257
804	1055	255
805	1056	254
806	1057	252
807	1059	251
808	1076	254
809	1077	252
810	1079	251
811	1081	250
812	1082	248
813	1082	247
814	1084	246
815	1085	244
816	1087	243
817	1088	242
818	1089	240
819	1091	239
820	1092	238
821	1093	236
822	1094	235
823	1095	233
824	1095	232
825	1096	231
826	1098	229
827	1099	228
828	1100	226
829	1100	225
830	1101	224
831	1102	222
832	1104	221
833	1105	220
834	1106	218
835	1107	217
836	1108	215
837	1110	214
838	1112	213
839	1113	212
840	1114	210
841	1115	209
842	1116	207
843	1118	206
844	1119	205
845	1120	203
846	1121	202
847	1123	201
848	1124	199
849	1125	198
850	1126	197
851	1127	195
852	1129	194
853	1131	193
854	1134	192
855	1137	191
856	1138	190
857	1139	188
858	1140	187
859	1142	185
860	1143	184
861	1144	183
862	1145	181
863	1146	180
864	1147	179
865	1148	177
866	1149	176
867	1150	174
868	1151	173
869	1154	172
870	1155	171
871	1156	169
872	1157	168
873	1158	166
874	1159	165
875	1161	164
876	1162	162
877	1162	161
878	1163	160
879	1165	158
880	1167	157
881	1167	156
882	1168	154
883	1170	153
884	1172	152
885	1173	150
886	1174	149
887	1175	148
888	1175	146
889	1176	145
890	1178	144
891	1179	142
892	1180	141
893	1181	140
894	1182	138
895	1184	137
896	1186	136
897	1187	134
898	1188	133
899	1190	132
900	1191	130
901	1192	129
902	1192	128
903	1193	126
904	1194	125
905	1195	124
906	1197	122
907	1198	121
908	1199	120
909	1202	118
910	1204	117
911	1206	116
912	1208	115
913	1209	113
914	1211	112
915	1212	111
916	1214	109
917	1216	108
918	1217	107
919	1218	105
920	1219	104
921	1220	103
922	1221	101
923	1223	100
924	1225	99
925	1226	97
926	1227	96
927	1228	95
928	1230	94
929	1231	92
930	1231	91
931	1232	89
932	1234	88
933	1235	87
934	1236	85
935	1237	84
936	1239	83
937	1241	82
938	1242	80
939	1243	79
940	1245	78
941	1247	76
942	1248	75
943	1249	74
944	1251	72
945	1253	71
946	1255	70
947	1255	68
948	1257	67
949	1258	66
950	1259	64
951	1261	63
952	1262	62
953	1263	60
954	1264	59
955	1265	58
956	1267	56
957	1268	55
958	1269	54
959	1271	52
960	1273	51
961	1273	50
962	1274	48
963	1276	47
964	1277	46
965	1278	45
966	1279	43
967	1280	42
968	1282	41
969	1283	39
970	1285	38
971	1286	37
972	1287	35
973	1288	34
974	1290	33
975	1291	31
976	1292	30
977	1293	29
978	1297	27
979	1298	26
980	1300	25
981	1301	23
982	1303	22
983	1304	21
984	1305	19
985	1306	18
986	1307	17
987	1309	15
988	1310	14
989	1312	13
990	1313	11
991	1314	10
992	1315	9
993	1316	7
994	1317	6
995	1319	5
996	1320	3
997	1321	2
998	1323	1
999	1324	0
